user,product,review,reply,rating,date
user1@example.com,Product 19,This is a review for Product 1,Reply to review 1,2,2024-05-13 18:41:56.491726
user2@example.com,Product 10,This is a review for Product 2,Reply to review 2,3,2024-01-29 18:41:56.491726
user3@example.com,Product 17,This is a review for Product 3,Reply to review 3,2,2024-12-24 18:41:56.491726
user4@example.com,Product 5,This is a review for Product 4,Reply to review 4,1,2024-02-25 18:41:56.491726
user5@example.com,Product 17,This is a review for Product 5,Reply to review 5,5,2024-12-16 18:41:56.491726
user6@example.com,Product 1,This is a review for Product 6,Reply to review 6,4,2024-04-12 18:41:56.491726
user7@example.com,Product 14,This is a review for Product 7,Reply to review 7,3,2024-11-10 18:41:56.491726
user8@example.com,Product 3,This is a review for Product 8,Reply to review 8,3,2024-03-20 18:41:56.491726
user9@example.com,Product 17,This is a review for Product 9,Reply to review 9,2,2024-05-21 18:41:56.491726
user10@example.com,Product 5,This is a review for Product 10,Reply to review 10,5,2024-12-02 18:41:56.491726
user11@example.com,Product 11,This is a review for Product 11,Reply to review 11,1,2024-04-26 18:41:56.491726
user12@example.com,Product 17,This is a review for Product 12,Reply to review 12,5,2024-06-04 18:41:56.491726
user13@example.com,Product 17,This is a review for Product 13,Reply to review 13,1,2024-05-08 18:41:56.491726
user14@example.com,Product 20,This is a review for Product 14,Reply to review 14,5,2024-09-15 18:41:56.491726
user15@example.com,Product 6,This is a review for Product 15,Reply to review 15,5,2024-08-06 18:41:56.491726
user16@example.com,Product 2,This is a review for Product 16,Reply to review 16,4,2024-12-14 18:41:56.491726
user17@example.com,Product 1,This is a review for Product 17,Reply to review 17,3,2024-07-02 18:41:56.491726
user18@example.com,Product 1,This is a review for Product 18,Reply to review 18,5,2024-09-29 18:41:56.491726
user19@example.com,Product 14,This is a review for Product 19,Reply to review 19,4,2024-09-05 18:41:56.491726
user20@example.com,Product 17,This is a review for Product 20,Reply to review 20,5,2024-08-28 18:41:56.491726
user21@example.com,Product 11,This is a review for Product 21,Reply to review 21,4,2024-09-15 18:41:56.491726
user22@example.com,Product 11,This is a review for Product 22,Reply to review 22,5,2024-07-08 18:41:56.491726
user23@example.com,Product 9,This is a review for Product 23,Reply to review 23,5,2024-08-25 18:41:56.491726
user24@example.com,Product 9,This is a review for Product 24,Reply to review 24,5,2024-04-06 18:41:56.491726
user25@example.com,Product 6,This is a review for Product 25,Reply to review 25,5,2024-06-24 18:41:56.491726
user26@example.com,Product 1,This is a review for Product 26,Reply to review 26,2,2024-03-02 18:41:56.491726
user27@example.com,Product 4,This is a review for Product 27,Reply to review 27,2,2024-07-29 18:41:56.491726
user28@example.com,Product 6,This is a review for Product 28,Reply to review 28,5,2024-12-20 18:41:56.491726
user29@example.com,Product 1,This is a review for Product 29,Reply to review 29,4,2024-03-10 18:41:56.491726
user30@example.com,Product 12,This is a review for Product 30,Reply to review 30,1,2024-10-27 18:41:56.491726
user31@example.com,Product 10,This is a review for Product 31,Reply to review 31,2,2024-07-18 18:41:56.491726
user32@example.com,Product 1,This is a review for Product 32,Reply to review 32,3,2025-01-12 18:41:56.491726
user33@example.com,Product 10,This is a review for Product 33,Reply to review 33,5,2024-11-24 18:41:56.491726
user34@example.com,Product 9,This is a review for Product 34,Reply to review 34,5,2024-08-06 18:41:56.491726
user35@example.com,Product 8,This is a review for Product 35,Reply to review 35,3,2024-05-17 18:41:56.491726
user36@example.com,Product 5,This is a review for Product 36,Reply to review 36,3,2024-06-14 18:41:56.491726
user37@example.com,Product 19,This is a review for Product 37,Reply to review 37,2,2024-10-16 18:41:56.491726
user38@example.com,Product 4,This is a review for Product 38,Reply to review 38,3,2024-06-23 18:41:56.491726
user39@example.com,Product 4,This is a review for Product 39,Reply to review 39,5,2024-10-16 18:41:56.491726
user40@example.com,Product 18,This is a review for Product 40,Reply to review 40,2,2024-12-08 18:41:56.491726
user41@example.com,Product 10,This is a review for Product 41,Reply to review 41,5,2024-10-23 18:41:56.491726
user42@example.com,Product 11,This is a review for Product 42,Reply to review 42,2,2024-11-20 18:41:56.491726
user43@example.com,Product 4,This is a review for Product 43,Reply to review 43,3,2024-05-25 18:41:56.491726
user44@example.com,Product 8,This is a review for Product 44,Reply to review 44,5,2024-03-22 18:41:56.491726
user45@example.com,Product 10,This is a review for Product 45,Reply to review 45,4,2024-04-23 18:41:56.491726
user46@example.com,Product 3,This is a review for Product 46,Reply to review 46,2,2024-06-10 18:41:56.491726
user47@example.com,Product 3,This is a review for Product 47,Reply to review 47,4,2024-10-12 18:41:56.491726
user48@example.com,Product 9,This is a review for Product 48,Reply to review 48,3,2024-02-28 18:41:56.491726
user49@example.com,Product 12,This is a review for Product 49,Reply to review 49,5,2024-02-10 18:41:56.491726
user50@example.com,Product 10,This is a review for Product 50,Reply to review 50,3,2024-07-09 18:41:56.491726
